date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:31	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267f443c5-239b%22	https://themewagon.github.io/robots.txt		(from )
15:50:31	52550/52550	---M-Z	200	added ('OK')	text/html	etag:W/%2267f20b3b-cd46%22	https://themewagon.github.io/vesperr/	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/index.html	(from )
15:50:31	1156/1156	---M--	200	added ('OK')	image/png	etag:%2267f20b3b-484%22	https://themewagon.github.io/vesperr/assets/img/favicon.png	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/img/favicon.png	(from https://themewagon.github.io/vesperr/)
15:50:31	7489/7489	---M--	200	added ('OK')	image/png	etag:%2267f20b3b-1d41%22	https://themewagon.github.io/vesperr/assets/img/apple-touch-icon.png	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/img/apple-touch-icon.png	(from https://themewagon.github.io/vesperr/)
15:50:31	231913/231913	---M-Z	200	added ('OK')	text/css	etag:W/%2267f20b3b-389e9%22	https://themewagon.github.io/vesperr/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/vesperr/)
15:50:32	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%2267f20b3b-17fcf%22	https://themewagon.github.io/vesperr/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://themewagon.github.io/vesperr/)
15:50:32	28765/28765	---M-Z	200	added ('OK')	text/css	etag:W/%2267f20b3b-705d%22	https://themewagon.github.io/vesperr/assets/vendor/aos/aos.css	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/vendor/aos/aos.css	(from https://themewagon.github.io/vesperr/)
15:50:32	13749/13749	---M-Z	200	added ('OK')	text/css	etag:W/%2267f20b3b-35b5%22	https://themewagon.github.io/vesperr/assets/vendor/glightbox/css/glightbox.min.css	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/vendor/glightbox/css/glightbox.min.css	(from https://themewagon.github.io/vesperr/)
15:50:32	18454/18454	---M-Z	200	added ('OK')	text/css	etag:W/%2267f20b3b-4816%22	https://themewagon.github.io/vesperr/assets/vendor/swiper/swiper-bundle.min.css	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/vendor/swiper/swiper-bundle.min.css	(from https://themewagon.github.io/vesperr/)
15:50:33	37082/37082	---M-Z	200	added ('OK')	text/css	etag:W/%2267f20b3b-90da%22	https://themewagon.github.io/vesperr/assets/css/main.css	C:/Meus%20Sites/sulition/themewagon.github.io/vesperr/assets/css/main.css	(from https://themewagon.github.io/vesperr/)
